Registro,Poliuria / polidipsia,Num_poliuria_polidipsia,Apetito,Num_apetito,Aspecto general,Num_aspecto_general,Actitud,Num_actitud,Comentarios,Fecha,Registrado por
09/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,9/8/2026 15:48,Mònica
10/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,10/8/2026 16:06,Mònica
11/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,11/8/2026 16:06,Mònica
12/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,12/8/2026 16:06,Mònica
13/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,13/8/2026 16:06,Mònica
14/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,14/8/2026 16:06,Mònica
15/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,,15/8/2026 16:06,Mònica
16/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,0 -> Aspecto normal,0,2 -> No es el mismo +/- jadeo en reposo,2,,16/8/2026 16:06,Mònica
17/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,0 -> Aspecto normal,0,2 -> No es el mismo +/- jadeo en reposo,2,,17/8/2026 16:06,Mònica
18/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,0 -> Aspecto normal,0,2 -> No es el mismo +/- jadeo en reposo,2,"Heces correctas, pero en algo menos de cantidad.",18/8/2026 16:06,Mònica
20/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,0 -> Aspecto normal,0,2 -> No es el mismo +/- jadeo en reposo,2,,20/8/2026 00:34,Mònica
20/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,1 -> No termina de ser el mismo,1,,20/8/2026 12:42,Mònica
21/08/2026 - Ramon,1 -> Es posible que beba y orine más,1,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,2 -> No es el mismo +/- jadeo en reposo,2,Parece más agotada de lo habitual,21/8/2026 17:14,Ramon
22/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,2 -> No es el mismo +/- jadeo en reposo,2,,22/8/2026 12:34,Mònica
23/08/2026 - Ramon,1 -> Es posible que beba y orine más,1,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,1 -> No termina de ser el mismo,1,,23/8/2026 12:22,Ramon
24/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,0 -> Actitud y actividad normales,0,,24/8/2026 12:18,Mònica
26/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,0 -> Actitud y actividad normales,0,,26/8/2026 12:15,Mònica
28/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,0 -> Actitud y actividad normales,0,,28/8/2026 01:39,Mònica
28/08/2026 - Ramon,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,1 -> No termina de ser el mismo,1,Parece que vuelve a hacer la cantidad normal de heces.,28/8/2026 13:00,Ramon
29/08/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,0 -> Actitud y actividad normales,0,,29/8/2026 15:33,Mònica
30/08/2026 - Ramon,0 -> Bebe y orina una cantidad normal,0,2 -> Se termina la comida rápido y pide más,2,1 -> Algo menos de pelo y mala calidad de piel,1,1 -> No termina de ser el mismo,1,,30/8/2026 13:16,Ramon
31/08/2026 - ,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,0 -> Aspecto normal,0,1 -> No termina de ser el mismo,1,,31/8/2026 22:46,
01/09/2026 - Mònica,0 -> Bebe y orina una cantidad normal,0,1 -> Se termina la comida rápido,1,1 -> Algo menos de pelo y mala calidad de piel,1,1 -> No termina de ser el mismo,1,,1/9/2026 12:38,Mònica
